DeveloperName,RERA_Number,ProjectName,ConstructionStatus,PropertyType,Location,PossessionDate,IsGatedCommunity,TotalUnits,AreaSizeAcres,Configurations,MinSizeSqft,MaxSizeSqft,PricePerSqft,PricePerSqftOTP,Longitude/Latitude,ProjectDocumentsLink,Source,BuilderContactInfo,ListingType,LoanApprovedBanks,NearbyLocations,RemarksComments,Amenities,FAQ,Commission,CPOnboardStatus,CPOnboardStatusComments,POCNumber,AvailabilityWithSS,No.of parkings for respective configurations,Open Space (x%),Grand Entrance lobby for each block (Yes/No),"Faces (East, West, North)",Smart home features (Yes/No),Gas connection type (Central/Individual),Construction material (Concrete/Brick type),Ground Vehicle Movement (Yes/No/Partial)
Raghuram Pradeep Constructions (India) LLP,P02400003990,The Vue Residences,UC,Apartment,"Puppalaguda, Hyderabad, Telangana, India",April 2025. ,TRUE,1154,10,"3BHK, 4BHK",1500,2660,9000,,"17.404909358313613, 78.36577143438443",https://drive.google.com/file/d/1W7iq_734iOnYam_5q0UDaG4xRqtB7y9_/view?usp=drive_link,"Website , Housing",,Builder,,"Kalingapatnam Restaurant,FabHotel W Grand Suites,SHREE Bar, Restaurant & Banquet Hall",,"The project boasts modern amenities such as a gymnasium, children’s play area, kid’s pool, swimming pool, cricket pitch, basketball court, and barbecue area. ","Q:
Is the project having a registered RERA number?
A:
The project is registered on RERA and RERA ID for the project is P02400003990.
Q:
Is parking available?
A:
Yes, Parking facility is provided in Raghuram The Vue Residences",,,said to visit the office reagarding the cp process,8062525276,,,,,,,,,
Hallmark builders,P02400003226,"Hallmark Treasor",New,Apartment,"Kokapet, West Hyderabad, Hyderabad",11/1/2024,TRUE,526,4.62,"3BHK, 4BHK",1765,2540,8700,,"17.385845, 78.328725",https://drive.google.com/file/d/1fyRxZpFaPDeujkwxB_u39ASQyj04iWoB/view?usp=drive_link,"Housing , Website","91-9905099999, +91-8297887887",Builder,,"Tasca Bar & Kitchen,ANKAPUR VILLAGE MILITARY HOTEL,The Rabbit Hole Lounge, Bar & Kitchen",,"Amphitheater
Cricket Pitch
Changing Room
Spa
Skating Rink
Fountains
Mini Theatre
Water Softner Plant
24X7 Water Supply
Car Parking
Street Lighting
Indoor Games
Piped Gas Connection
Sewage Treatment Plant
Children's Play Area
Salon
Recreation Facilities
Solid Waste Management And Disposal
Receiving Station
Community Hall
Storm Water Drains
Banquet Hall
Library
Rain Water Harvesting
Electrical meter Room
24x7 Security
Cafeteria
Waiting Lounge
Grocery Shop
Sub-Station
Garbage Disposal
Swimming Pool
Landscaping & Tree Planting
Water Conservation, Rain water Harvesting
Footpaths/Pedestrian
Fire Fighting System
Gymnasium
Community Buildings
Squash Court
Jogging Track
Lawn Tennis Court
Club House
Entrance Lobby
Yoga / Meditation Area
Rest House for Drivers
Lift(s)
Creche/Day Care
Sun Deck
Basketball Court
Paved Compound
Internal Roads & Footpaths
Energy management
Power Backup","Q:
Is the project having a registered RERA number?
A:
The project is registered on RERA and RERA ID for the project is P02400003226.
Q:
Does the project have a hall for community use?
A:
Yes, Community hall is there.",,,requested for company visit,+91 91549 02001,,,,,,,,,
Sri Aditya Homes Pvt. Ltd,P02400001111,Sri Aditya Athena,RTM,Apartment,"O.U.Colony, Shaikpet",7/1/2025,TRUE,523,6.01,3BHK,1626,2436,9350,,"17.407367, 78.388346",https://drive.google.com/file/d/1B7eq7Td4za33iJ_doipFIktK3aNwClfU/view?usp=drive_link,"Website , Housing",8151999639,Builder,,"Punjabi Family Dhaba,FabHotel Mallikarjun Residency,TAGESPO",,"Amphitheater
Gazebo
Vastu Compliant
Skating Rink
Water Softner Plant
24X7 Water Supply
Car Parking
Multipurpose Room
Senior Citizen Siteout
Street Lighting
Indoor Games
Pergola
Party Lawn
Sewage Treatment Plant
Intercom
Children's Play Area
Card Room
Recreation Facilities
Party Hall
24x7 CCTV Surveillance
Open Car Parking
Water Sports
Storm Water Drains
Maintenance Staff
Rain Water Harvesting
Electrical meter Room
24x7 Security
Waiting Lounge
Garbage Disposal
Swimming Pool
Water Conservation, Rain water Harvesting
Gymnasium
Fire Fighting System
Community Buildings
Closed Car Parking
Jogging Track
Gated Community
Utility Shops
Club House
Entrance Lobby
Yoga / Meditation Area
Lift(s)
Creche/Day Care
Sun Deck
Video Door Security
Basketball Court
Paved Compound
Internal Roads & Footpaths
Power Backup","Q:
Is the project having a registered RERA number?
A:
The project is registered on RERA and RERA ID for the project is P02400001111.
Q:
Is there a separate area for daily jogging and walk, like a jogging track?
A:
Yes",,,Not responding,+91 81519 99639,,,,,,,,,
Ramky Estates & Farms Ltd,P02200002611,Ramky One Harmony,UC,Apartment,"Pragathi Nagar, Hyderabad, Telangana, India.",12/1/2024,TRUE,400,8.1,"2BHK, 3BHK, 4BHK",1155,1595,7100,,"17.531483, 78.390395",https://drive.google.com/file/d/19L3lnzlrZBszeJeEOX-hQJeC2d1p7tOJ/view?usp=drive_link,"Website , Housing",9652032333,Builder,,"7 Spot Restaurant,Pincode90 Executive Suites,BEER POLITICS BAR & KITCHEN",,"Waiting Lounge
Amphitheater
Cricket Pitch
Tennis Court
Grocery Shop
Reflexology Park
Spa
Garbage Disposal
Swimming Pool
Vastu Compliant
Landscaping & Tree Planting
Business Suites
Gymnasium
Kid's Pool
Fire Fighting System
Car Parking
24X7 Water Supply
Multipurpose Room
Senior Citizen Siteout
Street Lighting
Gated Community
Indoor Games
Lawn Tennis Court
Business Center
Sewage Treatment Plant
Club House
Intercom
Anti-termite Treatment
Children's Play Area
Entrance Lobby
Yoga / Meditation Area
Security Cabin
Salon
Lift(s)
Badminton Court
Creche/Day Care
24x7 CCTV Surveillance
Multipurpose Hall
Basketball Court
Community Hall
Car Wash Area
Maintenance Staff
ATM
Rain Water Harvesting
Laundromat
24x7 Security
Power Backup","Q:
What is the rera registration number of the project?
A:
The project is registered on RERA and RERA ID for the project is P02200002611.
Q:
Does the project have a swimming pool?
A:
Yes, swimming pool is there within the society premises.",,,Not responding,+91 9100434848,,,,,,,,,
Aspire Spaces Pvt Ltd,P01100002844,Aspire Spaces Ameya,UC,Apartment,"Miyapur, North Hyderabad, Hyderabad",Dec 2024,TRUE,936,8.06,"2BHK, 3BHK",1210,1940,6700,,"17.5249985258638, 78.3471526042424",https://drive.google.com/file/d/1YXeunkI0QhujUlXpqRGbrounP5-yniRb/view?usp=drive_link,"Builder Site , Housing",9797973777,Builder,,"Tummy Crunch,HOTEL HIBISCUS TREE,Lotus Grand Bar & Restaurant",,"Internet / Wi-Fi
Swimming Pool
Fire Sprinklers
Landscaping & Tree Planting
Water Conservation, Rain water Harvesting
Gymnasium
Fire Fighting System
Community Buildings
Closed Car Parking
Car Parking
24X7 Water Supply
Multipurpose Room
Jogging Track
Street Lighting
Gated Community
Indoor Games
Piped Gas Connection
Utility Shops
Sewage Treatment Plant
Club House
Intercom
Children's Play Area
Security Cabin
Recreation Facilities
Party Hall
Lift(s)
Badminton Court
24x7 CCTV Surveillance
Health Facilities
Basketball Court
Community Hall
Spa/Sauna/Steam
Banquet Hall
Storm Water Drains
Internal Roads & Footpaths
Rain Water Harvesting
Electrical meter Room
Energy management
24x7 Security
Power Backup
Cafeteria","Q:
What is the booking amount for buying a flat in Aspire Spaces Ameya?
A:
Contact the sellers of Aspire Spaces Ameya for details about the booking amount or loan process for buying a flat in the project.
Q:
When will Aspire Spaces Ameya start possessions?
A:
Aspire Spaces Ameya will start possessions from March, 2027.",,,,+91 979797 3777,,,,,,,,,
INDIS,"P02400001477,P02400003069",INDIS Viva City,UC,Apartment,"Venkateshwara Nagar, Serilingampally, Hyderabad, 500084",Nov 2025,TRUE,640,8.15,"2BHK, 3BHK",1367,2597,8345,,"17.480549097325763, 78.34581820085539",https://drive.google.com/file/d/1Td5rehpHpOtwy2wUQ8AdFWAlBPPzHmmH/view?usp=drive_link,"Builder Site , MagicBricks",91 40 4189 2330,Builder,,"VIEW LOUNGE Cafe and Bistro,The Elite Hotel Hyderabad,The Hangout Bar & Restaurant",,"Swimming Pool
Lift
Security
Bank & ATM
Banquet Hall
Gymnasium
Meditation Area
Multipurpose Hall
Kids play area
Cricket net practice
Half basketball court","Q:
Is the project having a registered RERA number?
A:
The project is registered on RERA and RERA ID for the project is P02400001477.
Q:
Is the project old or new?
A:
Incor Viva City was launched in Sep, 2019",,,Site visit,97019 99021,,,,,,,,,
Ramky Group,P02200004880,Ramky One Genext Towers,UC,Apartment,"Uppal, Hyderabad",Jul 2028,FALSE,596,5.75,"2BHK, 3BHK",1310,1860,9000,,"17.408548, 78.547721",https://drive.google.com/file/d/1WAycokgZ8nAYfvQTYEi0lF0qTc4-ZRKM/view?usp=drive_link,"Square Yards , Housing",6262766667,Builder,,"D Whirl street,Hotel Dwaraka,Hotel Dwaraka Inn,Madhura Restaurant And Bar",,"Amphitheater
Cricket Pitch
Spa
Skating Rink
Table Tennis
Electrification(Transformer, Solar Energy etc)
Medical Facilities
Car Parking
24X7 Water Supply
Senior Citizen Siteout
Street Lighting
Indoor Games
Business Center
Party Lawn
Sewage Treatment Plant
Intercom
Children's Play Area
Salon
Solid Waste Management And Disposal
24x7 CCTV Surveillance
Chess Board
Storm Water Drains
Open Parking
Rain Water Harvesting
Laundromat
24x7 Security
Electrical meter Room
Waiting Lounge
Reflexology Park
Swimming Pool
Landscaping & Tree Planting
Water Conservation, Rain water Harvesting
Gymnasium
Fire Fighting System
Golf Course
Gated Community
Club House
Entrance Lobby
Yoga / Meditation Area
Security Cabin
Lift(s)
Badminton Court
Aerobics Room
Creche/Day Care
Sun Deck
Basketball Court
Paved Compound
Car Wash Area
Internal Roads & Footpaths
Carrom
Energy management
Power Backup
Billiards / Snooker Table
DG Availability","Q:
Has the project seen appreciation in price value?
A:
Project price has appreciated by 4.26% in last 1 year
Q:
Do all the flats have servant rooms?
A:
Yes, there are servant rooms in 2 BHK",,,Not responding,+91 40 2301 5000,,,,,,,,,
My Home Constructions Pvt. Ltd.,P02400000281,My Home Mangala,RTM,Apartment,"Survey No. 98, Kondapur, North Hyderabad, Hyderabad",Jan 2025,TRUE,1879,20,"2BHK, 3BHK",1297,1877,12560,,"17.47521118658101, 78.34885619319317",https://drive.google.com/file/d/1GvBxij-l4pt8-5LdMgWBJBs4BY3D42G2/view?usp=drive_link,"Builder Site , Housing",9100088888,Builder,,"DOC Dosa On Cloud : South Indian Tiffins,OYO SilverKey Oyo Silverkey ,near RTO office kondapur,Air Live Gachibowli",,"Amphitheater
Cricket Pitch
Skating Rink
Car Parking
24X7 Water Supply
Senior Citizen Siteout
Street Lighting
Indoor Games
Pergola
Cycling & Jogging Track
Piped Gas Connection
Party Lawn
Sewage Treatment Plant
Intercom
Children's Play Area
Recreation Facilities
Solid Waste Management And Disposal
24x7 CCTV Surveillance
Community Hall
Storm Water Drains
Maintenance Staff
Banquet Hall
Electrical meter Room
24x7 Security
Internet / Wi-Fi
Tennis Court
Swimming Pool
Vastu Compliant
Landscaping & Tree Planting
Water Conservation, Rain water Harvesting
Fire Fighting System
Gymnasium
Community Buildings
Closed Car Parking
Squash Court
Jogging Track
Gated Community
Sports Facility
Lawn Tennis Court
Club House
Entrance Lobby
Yoga / Meditation Area
Lift(s)
Badminton Court
Fire Retardant Structure
Basketball Court
Paved Compound
Internal Roads & Footpaths
Energy management
Power Backup","Q:
What is the rera registration number of the project?
A:
The project is registered on RERA and RERA ID for the project is P02400000281.
Q:
Is there a separate area for daily jogging and walk, like a jogging track?
A:
Yes, the society has a jogging track",,,Not responding,9100088888,,,,,,,,,
Cybercity Builders & Developers,P02400003031,Cybercity West Brook,UC,Apartment,"Kokapet, West Hyderabad, Hyderabad",Oct 2026,TRUE,1102,7.8,"2BHK, 3BHK, 4BHK",1075,2400,9400,,"17.40812959422964, 78.32646721810958",https://drive.google.com/file/d/16WURPfsLbRni_YHzdldVsNLSds5jTvBd/view?usp=drive_link,"Builder Site , Housing",8801000044,Builder,,"Asie - Stories from East,Hyatt Hyderabad Gachibowli,Hodds Cocktail Bar - Hyatt Hyderabad Gachibowli",,"Amphitheater
Cricket Pitch
Tennis Court
Changing Room
Grocery Shop
Spa
Swimming Pool
Landscaping & Tree Planting
Water Conservation, Rain water Harvesting
Gymnasium
Fire Fighting System
Medical Store/Pharmacy
Electrification(Transformer, Solar Energy etc)
Community Buildings
Squash Court
Closed Car Parking
Car Parking
Jogging Track
Senior Citizen Siteout
Street Lighting
Indoor Games
Shopping Mall
Lawn Tennis Court
Party Lawn
Sewage Treatment Plant
Intercom
Children's Play Area
Service Lift
Yoga / Meditation Area
Salon
Recreation Facilities
Barbecue Area
Solid Waste Management And Disposal
Visitor Parking
Creche/Day Care
Badminton Court
Terrace Garden
Reserved Parking
Multipurpose Hall
Basketball Court
Maintenance Staff
Storm Water Drains
Internal Roads & Footpaths
24x7 Security
Energy management
Cafeteria","Q:
Is the project having a registered RERA number?
A:
The project is registered on RERA and RERA ID for the project is P02400003031.
Q:
Is parking available?
A:
Yes, Parking facility is provided in Cybercity West Brook",,,Not responding,04040500500,,,,,,,,,
Prestige Estates Projects Ltd.,P02400002236,Prestige Tranquil,UC,Apartment,"Kokapet, West Hyderabad, Hyderabad",Sep 2026,TRUE,907,7.85,"3BHK, 4BHK",1390,2048,10600,,"17.397272748388577, 78.34044417332025",https://drive.google.com/file/d/1BGemDpkEH9qaSZAKOxQwAlOK-CzJeC8u/view?usp=drive_link,"Builder Site , Housing",8025591080,Builder,,"Jewel of Nizam - The Minar,Hotel Shubham Palace Narsingi,The Rabbit Hole Lounge, Bar & Kitchen",,"Amphitheater
Cricket Pitch
Garbage Disposal
Swimming Pool
Fire Sprinklers
Landscaping & Tree Planting
Mini Theatre
Gymnasium
Fire Fighting System
Squash Court
Car Parking
24X7 Water Supply
Closed Car Parking
Street Lighting
Gated Community
Indoor Games
Lawn Tennis Court
Food Court
Sewage Treatment Plant
Club House
Children's Play Area
Entrance Lobby
Recreation Facilities
Visitor Parking
Lift(s)
Badminton Court
Creche/Day Care
Sun Deck
Basketball Court
Paved Compound
Banquet Hall
Rain Water Harvesting
Earthquake Resistant Structure
Power Backup
Cafeteria","Q:
What are the minimum to maximum rental rates in the area?
A:
Locality price has appreciated by 6.14% in last 1 year
Q:
Is the project having a registered RERA number?
A:
The project is registered on RERA and RERA ID for the project is P02400002236.",,,,+91 8147168737,,,,,,,,,
